id_ci,id_delito,dto,moda_dto,forma_acc,fha_de_hchos,hra_de_hchos,emto_com_dto,grdo_cons,clasf_de_dto,nom_ent_hchos,id_ent_hchos,nom_mun_hchos,id_mun_hchos,nom_loc_hchos,id_loc_hchos,nom_col_hchos,id_col_hchos,cp,coord_x,coord_y,dom_hchos
523561,515751,"Violencia familiar",Simple,1,2025-09-14,22:30:00,3,1,5.01,Michoacán,16,Zinapécuaro,110,"Zinapécuaro de Figueroa",161100001,"Residencial Hacienda Real",2033,58935,-100.8237589,19.8564442,"FRAY JACOBO DACIANO"
523678,515874,"Daño en hechos de tránsito vehicular",Simple,2,2025-09-23,05:00:00,4,1,4.05,Michoacán,16,Morelia,53,"San Lorenzo Itzícuaro",160530001,"El Potrero",663,58330,-101.2747827,19.6811897,"Maria Josefa Navarrete"
522941,515117,"Robo simple",Simple,2,2025-09-21,07:10:00,7,1,4.01.14,Michoacán,16,Zitácuaro,112,"Heróica Zitácuaro",161120001,"El Moral",8000,61514,-100.34349549308,19.428335124121,"Avenida Revolución Sur"
522996,515173,"Lesiones culposas en accidente de tránsito",Simple,2,2025-09-20,22:00:00,4,1,1.02.02,Michoacán,16,Tarímbaro,88,Tarímbaro,160880001,"Galaxia Tarímbaro I",1853,58880,-101.1955739,19.7627684,"avenida galaxia"
523796,515994,"Retención o sustracción especifica de persona menor de edad o que no tenga la capacidad para comprender el hecho",Simple,2,2025-09-23,20:00:00,6,1,7.10,Michoacán,16,"Lázaro Cárdenas",52,"La Mira",160520001,"Vista Hermosa",6284,60980,-102.3263446,18.0335012,metalurgistas
522871,515046,"Abuso de confianza",Simple,2,2024-12-03,11:00:00,6,1,4.03,Michoacán,16,Morelia,53,Morelia,160530001,"Sentimientos de la Nación",359,58178,-101.23161918889,19.679017210932,"TEODORO GAMERO "
522901,515075,"Falsificación o alteración y uso indebido de documentos",Simple,2,2025-09-24,10:00:00,6,1,7.06,Michoacán,16,Cherán,24,Cherán,160240001,Cherán,3968,60270,-101.9506344,19.6895664,"FRANCISCO I. MADERO"
523362,515548,Amenazas,Simple,2,2025-09-20,20:00:00,7,1,7.02,Michoacán,16,"Lázaro Cárdenas",52,"Ciudad Lázaro Cárdenas",160520001,"2 de Febrero",6380,60995,-102.21702925943,17.991870537295,"CONSTITUCION 1917"
523028,515206,"Robo simple",Simple,2,2025-09-20,10:54:00,6,1,4.01.14,Michoacán,16,"Lázaro Cárdenas",52,"Ciudad Lázaro Cárdenas",160520001,"Isla de la Palma",10234,60950,-102.18732111238,17.973920437126,"VOLCAN DE MALINCHE"
523241,515418,"Violencia familiar",Atenuado,1,2025-09-24,15:00:00,7,1,5.01,Michoacán,16,Zamora,108,"Zamora de Hidalgo",161080001,"Lázaro Cárdenas",2950,59620,-102.31567334664,20.007138135264,"DIEGO RIVERA, EN FRACC LOS PINTORES"
523241,515419,"Violencia vicaria",Atenuado,1,2025-09-24,15:00:00,7,1,5.04,Michoacán,16,Zamora,108,"Zamora de Hidalgo",161080001,"Lázaro Cárdenas",2950,59620,-102.31567334664,20.007138135264,"DIEGO RIVERA, EN FRACC LOS PINTORES"
523783,515981,"Violencia familiar",Agravado,1,2025-09-20,10:00:00,7,1,5.01,Michoacán,16,Morelia,53,Morelia,160530001,Lartesi,871,58350,-101.1631153,19.653057,"CIRCUITO  SONIDO "
523404,515591,Despojo,Simple,2,2025-09-23,10:02:00,6,1,4.06,Michoacán,16,Morelia,53,Morelia,160530001,"Primo Tapia (Poniente)",343,58158,-101.213886,19.7134671,"José Moreno de la Cruz"
523004,515182,"Elaboración, alteración o uso indebido de placas, engomados o documentos de identificación de vehículos automotores",Simple,1,2025-09-24,20:05:00,6,1,7.06,Michoacán,16,"La Piedad",69,"La Piedad de Cabadas",160690001,"La Piedad Cavadas FOVISSSTE",2495,59335,-102.0263038,20.3374668,"CARRETERA DEGOLLADO - LA PIEDAD"
523488,515676,"Lesiones dolosas",Simple,1,2025-09-24,00:00:00,7,1,1.02.01,Michoacán,16,Morelia,53,Morelia,160530001,"Jesús del Monte",882,58350,-101.1636993,19.6562961,"MONTAÑA MONARCA"
522900,515074,"Retención o sustracción especifica de persona menor de edad o que no tenga la capacidad para comprender el hecho",Simple,2,2025-06-15,15:00:00,7,1,7.10,Michoacán,16,Morelia,53,Morelia,160530001,"Eduardo Ruiz",326,58149,-101.2231864,19.7237286,ASTRONOMICA
522921,515097,"Desaparición cometida por particulares",Simple,1,2025-09-19,16:00:00,7,1,2.07.04,Michoacán,16,Jacona,43,"Jacona de Plancarte",160430001,"Manantiales del Curutarán",3237,59835,-102.31192858437,19.934722648694,BRISA
522888,515062,"Daño en hechos de tránsito vehicular",Simple,2,2025-09-15,22:12:00,4,1,4.05,Michoacán,16,Morelia,53,Morelia,160530001,"Centro Histórico",3,58000,-101.17926744964,19.704240407148,"Avenida Francisco I. Madero"
523190,515366,"Robo simple",Simple,2,2025-04-29,10:00:00,3,1,4.01.14,Michoacán,16,Tancítaro,83,Condémbaro,160830001,Condémbaro,4289,60485,-102.30423026984,19.292734739246,"CARR. URUAPAN - EL COPETIRO, CONDEMBARO"
522979,515157,"Desaparición cometida por particulares",Simple,2,2025-09-23,15:11:00,7,1,2.07.04,Michoacán,16,Pátzcuaro,66,Pátzcuaro,160660001,Pátzcuaro,8414,61600,-101.4860632,19.5315439,"Autopista Siglo XXI"
522992,515169,"Lesiones dolosas",Simple,1,2025-09-24,19:10:00,3,1,1.02.01,Michoacán,16,Uruapan,102,Uruapan,161020001,"La Joyita",3758,60170,-102.05579309385,19.396576645361,ATENAS
523440,515627,"Violencia familiar",Simple,1,2025-09-24,20:47:00,6,1,5.01,Michoacán,16,Morelia,53,Morelia,160530001,"INFONAVIT CEPAMISA",444,58199,-101.2164305,19.6974772,Madera
523735,515930,"Elaboración, alteración o uso indebido de placas, engomados o documentos de identificación de vehículos automotores",Simple,2,2025-09-24,15:10:00,6,1,7.06,Michoacán,16,Sahuayo,76,"Sahuayo de Morelos",160760001,Centro,2201,59000,-102.717544318,20.04341046119,"Boulevard Lázaro Cardenas Sur"
523052,515231,"Incumplimiento de la obligación alimentaria",Agravado,2,2025-09-24,19:00:00,3,1,5.03,Michoacán,16,Morelia,53,Morelia,160530001,"José María Pino Suárez",462,58218,-101.1642931,19.7244948,"POETA PINO SUAREZ"
523035,515213,"Lesiones dolosas",Simple,1,2025-09-24,17:20:00,3,1,1.02.01,Michoacán,16,Puruándiro,71,Puruándiro,160710001,"Adolfo López Mateos",1360,58503,-101.50687326323,20.096305733943,YURÉCUARO
523035,515214,"Retención o sustracción especifica de persona menor de edad o que no tenga la capacidad para comprender el hecho",Simple,1,2025-09-24,17:20:00,3,1,7.10,Michoacán,16,Puruándiro,71,Puruándiro,160710001,"Adolfo López Mateos",1360,58503,-101.50687326323,20.096305733943,YURÉCUARO
523208,515385,"Robo simple",Simple,2,2025-09-24,18:00:00,6,1,4.01.14,Michoacán,16,Morelia,53,Morelia,160530001,"Las Américas",571,58270,-101.155774,19.6882537,"LAS AMERICAS"
523597,515788,"Daño en hechos de tránsito vehicular",Simple,2,2025-09-24,14:54:00,4,1,4.05,Michoacán,16,Morelia,53,Morelia,160530001,"Félix Ireta",57,58070,-101.1889753,19.685724,Paquinhuata
522985,515163,"Narcomenudeo (en su modalidad de posesión simple)",Calificado,2,2025-09-24,19:58:00,6,1,7.01.01,Michoacán,16,Morelia,53,Morelia,160530001,"El Realito",236,58116,-101.2019687,19.726262,"Lanceros de la Libertad"
522927,515103,"Robo de vehículo",Calificado,1,2025-09-04,20:40:00,1,1,4.01.02.01,Michoacán,16,Indaparapeo,40,Indaparapeo,160400001,Indaparapeo,2122,58970,-100.975435,19.7905736,"AVENIDA MORELOS PONIENTE "
523591,515782,"Lesiones dolosas",Calificado,1,2025-09-24,14:44:00,3,1,1.02.01,Michoacán,16,Morelia,53,Morelia,160530001,"Jardines de Guadalupe",278,58140,-101.2247555,19.7047808,"Francisco I Madero Pte. casi esquina Av. Escu"
523118,515298,Amenazas,Simple,2,2025-09-24,20:30:00,7,1,7.02,Michoacán,16,Morelia,53,Morelia,160530001,Independencia,451,58210,-101.1761919,19.7131058,"2 DE MAYO"
522913,515089,"Robo de motocicleta",Simple,2,2025-09-19,06:00:00,6,1,4.01.02.02,Michoacán,16,Morelia,53,Morelia,160530001,"Hermenegildo Galeana",439,58197,-101.211097,19.7453906,"Ernesto Cedillo"
