ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
1077,4,DAÑOS,DAÑOS,1,2,2025-05-24,03:30:00,7,1,4.5,TLAXCALA,29,TLAXCALA,33,TLAXCALA,1,,,90000,19.318836,-98.244624,"CALLE JARDÍN DE LA CORREGIDORA, COMO REFERENCIA A 50 METROS DE LA SECRETARIA DE BIENESTAR DE TLAXCALA, CON GEORREFERENCIA GEOGRÁFICA 19.318836.-98.244624 DOMICILIO DE DOS PLANTAS DE COLOR AZUL"
1078,4,"ROBO COMERCIO","ROBO COMERCIO",1,2,2025-05-23,07:00:00,7,1,4.1.11,TLAXCALA,29,XALTOCAN,40,"SANTA BARBARA ACUICUZCATEPEC",11,,,90440,"19.446439718026927, ",-98.222926835365,"CARRETERA  FEDERAL MÉXICO-VERACRUZ KM 105 NO 2, SANTA BARBARA ACUICUZCATEPEC, XALTOCAN, TLAXCALA"
1079,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,2,2025-05-25,14:10:00,7,1,4.1.2.2,TLAXCALA,29,APIZACO,5,APIZACO,1,"LA CIENEGA",,90300,"19.409623238639334,",-98.129676789576,"EN EL INTERIOR DEL ESTACIONAMIENTO DE LA TIENDA COMERCIAL “CHEDRAUI” UBICADO EN CARRETERA APIZACO HUAMANTLA 2407, LA CIÉNEGA, APIZACO, TLAXCALA"
1080,4,"ROBO TRANSPORTISTA","ROBO TRANSPORTISTA",1,1,2025-05-24,14:40:00,1,1,4.1.4,TLAXCALA,29,AXOCOMANITLA,54,AXOCOMANITLA,1,,,90760,"19.22670017707964, ",-98.259700575902,"CALLE GALEANA, CON DIRECCIÓN A VALQUIRICO, ENTRE CALLE INDEPENDENCIA Y FRANCISCO I MADERO, MUNICIPIO DE SAN LORENZO AXOCOMANITLA"
1081,1,HOMICIDIO,HOMICIDIO,1,1,2025-05-25,,1,1,1.1.1,TLAXCALA,29,CHIAUTEMPAN,10,CHIAUTEMPAN,1,"BARRIO TEPETLAPA",,90800,19.305578,-9819376,"CALLE FERROCARRIL SUR, SIN NÚMERO, BARRIO DE TEPETLAPA, RÍO DE LOS NEGROS, MUNICIPIO DE CHIAUTEMPAN"
1082,1,HOMICIDIO,HOMICIDIO,1,1,2025-05-25,,6,1,1.1.1,TLAXCALA,29,"TETLA DE LA SOLIDARIDAD",31,TETLA,1,,,90430,19.457009,-98082760,"CAMINO HACIA EL CERRO DE LA COMUNIDAD OCOTITLA, DEL MUNICIPIO DE TETLA DE LA SOLIDARIDAD, 19.4570091,-980827608"
1083,4,"ROBO VEHICULO","ROBO VEHICULO",1,1,2025-05-25,02:30:00,1,1,4.1.2.1,TLAXCALA,29,TLAXCALA,33,"SAN LUCAS CUAUHTELULPAN",14,,,90110,"19.29022053511064, ",-98.250803289593,"LIBRAMIENTO, TLAXCALA 90110 SAN LUCAS CUAUHTELULPAN, TLAXCALA, CON RUMBO HACIA LA CARRETERA FEDERAL TLAXCALA-PUEBLA"
1084,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,2,2025-05-25,12:30:00,7,1,4.1.2.2,TLAXCALA,29,TLAXCALA,33,"SAN SEBASTIAN ATLAHAPA",15,,,90000,"19.290752278904435,",-98.229042862958,"GALERIAS TLAXCALA"
1085,7,"ALLANAMIENTO DE MORADA","ALLANAMIENTO DE MORADA",1,2,2025-05-25,,7,1,7.3,TLAXCALA,29,TLAXCO,34,TLAXCO,1,,,90250,"19.617871856766655, ",-98.117811084246,"TLAXCO TLAXCALA"
1086,4,DAÑOS,DAÑOS,1,2,2025-05-25,02:31:00,7,1,4.5,TLAXCALA,29,ZACATELCO,44,ZACATELCO,1,,,90740,19.214752,-98.241647,"CARRETERA FEDERAL 119 TLAXCALA – PUEBLA, ESQUINA CON CALLE CRUZ COLORADA, SECCIÓN SEGUNDA SANTA INÉS ZACATELCO, CON COORDENADAS 19.214752,-98.241647"
